cve,epss,percentile
CVE-2023-0526,0.00045,0.12002
CVE-2023-0527,0.00133,0.47334
CVE-2023-0528,0.00051,0.17499
CVE-2023-0529,0.00051,0.17499
CVE-2023-0530,0.00063,0.25482
CVE-2023-0531,0.00051,0.17499
CVE-2023-0532,0.00051,0.17499
CVE-2023-0533,0.00051,0.17499
CVE-2023-0534,0.00051,0.17499
CVE-2023-0535,0.00045,0.12002
CVE-2023-0536,0.00045,0.12002
CVE-2023-0537,0.00045,0.12002
CVE-2023-0538,0.00045,0.12002
CVE-2023-0539,0.00045,0.12002
CVE-2023-0540,0.00045,0.12002
CVE-2023-0541,0.00045,0.12002
CVE-2023-0542,0.00045,0.12002
CVE-2023-0543,0.00045,0.12002
CVE-2023-0544,0.00045,0.12002
CVE-2023-0545,0.00045,0.12002
CVE-2023-0546,0.00045,0.12002
CVE-2023-0547,0.00048,0.14876
CVE-2023-0548,0.00045,0.12002
CVE-2023-0549,0.00052,0.18424
CVE-2023-0550,0.00051,0.17954
CVE-2023-0552,0.00078,0.31804
CVE-2023-0553,0.00051,0.17954
CVE-2023-0554,0.00065,0.26741
CVE-2023-0555,0.00052,0.18199
CVE-2023-0556,0.00089,0.37018
CVE-2023-0557,0.00089,0.36636
CVE-2023-0558,0.00152,0.50342
CVE-2023-0559,0.00045,0.12002
CVE-2023-0560,0.00061,0.24022
CVE-2023-0561,0.00061,0.24022
CVE-2023-0562,0.00063,0.25482
CVE-2023-0563,0.00051,0.17548
CVE-2023-0564,0.00048,0.14876
CVE-2023-0565,0.00046,0.12810
CVE-2023-0566,0.00045,0.12002
CVE-2023-0567,0.00045,0.12332
CVE-2023-0568,0.00087,0.36042
CVE-2023-0569,0.00049,0.15307
CVE-2023-0570,0.00063,0.25482
CVE-2023-0571,0.00051,0.17548
CVE-2023-0572,0.00046,0.13988
CVE-2023-0574,0.00091,0.37850
CVE-2023-0575,0.00066,0.27012
CVE-2023-0576,0.00043,0.07027
CVE-2023-0577,0.00046,0.13988
CVE-2023-0578,0.00046,0.13988
CVE-2023-0580,0.00091,0.37850
CVE-2023-0581,0.00052,0.18362
CVE-2023-0583,0.00045,0.12002
CVE-2023-0584,0.00045,0.12002
CVE-2023-0585,0.00070,0.28841
CVE-2023-0586,0.00060,0.23171
CVE-2023-0587,0.00291,0.64684
CVE-2023-0589,0.00045,0.12002
CVE-2023-0590,0.00043,0.07027
CVE-2023-0591,0.00046,0.14063
CVE-2023-0592,0.00046,0.14063
CVE-2023-0593,0.00046,0.14063
CVE-2023-0594,0.00045,0.12002
CVE-2023-0595,0.00046,0.13988
CVE-2023-0597,0.00042,0.05675
CVE-2023-0598,0.00082,0.33654
CVE-2023-0599,0.00044,0.11032
CVE-2023-0600,0.00096,0.39165
CVE-2023-0603,0.00058,0.21935
CVE-2023-0605,0.00045,0.12002
CVE-2023-0606,0.00046,0.13988
CVE-2023-0607,0.00045,0.12002
CVE-2023-0608,0.00045,0.12002
CVE-2023-0609,0.00045,0.12002
CVE-2023-0610,0.00045,0.12002
CVE-2023-0611,0.00048,0.14551
CVE-2023-0612,0.00046,0.13988
CVE-2023-0613,0.00046,0.13988
CVE-2023-0614,0.00066,0.27074
CVE-2023-0615,0.00042,0.05675
CVE-2023-0616,0.00046,0.13988
CVE-2023-0617,0.00046,0.13988
CVE-2023-0618,0.00046,0.13988
CVE-2023-0619,0.00046,0.12859
CVE-2023-0620,0.00043,0.07027
CVE-2023-0621,0.00053,0.18658
CVE-2023-0622,0.00053,0.18658
CVE-2023-0623,0.00053,0.18658
CVE-2023-0624,0.00046,0.13988
CVE-2023-0628,0.00053,0.19305
CVE-2023-0629,0.00043,0.07027
CVE-2023-0630,0.02466,0.88519
CVE-2023-0631,0.00050,0.16805
CVE-2023-0635,0.00091,0.37850
CVE-2023-0636,0.00103,0.40869
CVE-2023-0637,0.00063,0.25518
CVE-2023-0638,0.00093,0.38509
CVE-2023-0639,0.00046,0.13988
CVE-2023-0640,0.00108,0.42632
CVE-2023-0641,0.00067,0.27596
CVE-2023-0642,0.00046,0.13988
CVE-2023-0643,0.00046,0.13988
CVE-2023-0644,0.00046,0.13988
CVE-2023-0645,0.00114,0.43915
CVE-2023-0646,0.00065,0.26859
CVE-2023-0647,0.00065,0.26859
CVE-2023-0648,0.00065,0.26859
CVE-2023-0649,0.00065,0.26859
CVE-2023-0650,0.00060,0.23613
CVE-2023-0651,0.00063,0.24970
CVE-2023-0652,0.00042,0.05675
CVE-2023-0655,0.00065,0.26756
CVE-2023-0656,0.00130,0.46724
CVE-2023-0658,0.00087,0.35654
CVE-2023-0659,0.00087,0.35654
CVE-2023-0660,0.00045,0.12002
CVE-2023-0661,0.00049,0.15307
CVE-2023-0662,0.00046,0.13988
CVE-2023-0663,0.00063,0.25482
CVE-2023-0664,0.00042,0.05675
CVE-2023-0665,0.00046,0.13988
CVE-2023-0666,0.00075,0.30518
CVE-2023-0667,0.00155,0.50696
CVE-2023-0668,0.00059,0.22927
CVE-2023-0669,0.96695,0.99444
CVE-2023-0670,0.00092,0.38124
CVE-2023-0671,0.00049,0.15376
CVE-2023-0673,0.00076,0.31349
CVE-2023-0674,0.00054,0.19795
CVE-2023-0675,0.00061,0.24022
CVE-2023-0676,0.00046,0.13988
CVE-2023-0677,0.00046,0.13988
CVE-2023-0678,0.00046,0.13988
CVE-2023-0679,0.00063,0.25482
CVE-2023-0681,0.00046,0.13988
CVE-2023-0683,0.00048,0.14977
CVE-2023-0684,0.00052,0.18199
CVE-2023-0685,0.00139,0.48221
CVE-2023-0686,0.00076,0.31349
CVE-2023-0687,0.00063,0.24970
CVE-2023-0688,0.00064,0.26325
CVE-2023-0690,0.00043,0.07027
CVE-2023-0691,0.00051,0.17954
CVE-2023-0692,0.00051,0.17954
CVE-2023-0693,0.00051,0.17954
CVE-2023-0694,0.00051,0.17954
CVE-2023-0695,0.00045,0.12002
CVE-2023-0696,0.00062,0.24763
CVE-2023-0697,0.00061,0.24176
CVE-2023-0698,0.00083,0.34036
CVE-2023-0699,0.00079,0.32846
CVE-2023-0700,0.00061,0.24176
CVE-2023-0701,0.00062,0.24763
CVE-2023-0702,0.00062,0.24763
CVE-2023-0703,0.00062,0.24763
CVE-2023-0704,0.00059,0.23099
CVE-2023-0705,0.00062,0.24763
CVE-2023-0706,0.00050,0.16805
CVE-2023-0707,0.00061,0.24144
CVE-2023-0708,0.00051,0.17954
CVE-2023-0709,0.00051,0.17954
CVE-2023-0710,0.00045,0.12002
CVE-2023-0711,0.00052,0.18199
CVE-2023-0712,0.00052,0.18199
CVE-2023-0713,0.00052,0.18199
CVE-2023-0715,0.00052,0.18199
CVE-2023-0716,0.00052,0.18199
CVE-2023-0717,0.00052,0.18199
CVE-2023-0718,0.00052,0.18199
CVE-2023-0719,0.00052,0.18199
CVE-2023-0720,0.00052,0.18199
CVE-2023-0721,0.00063,0.25180
CVE-2023-0722,0.00069,0.28212
CVE-2023-0723,0.00092,0.38262
CVE-2023-0724,0.00069,0.28212
CVE-2023-0725,0.00069,0.28212
CVE-2023-0726,0.00069,0.28212
CVE-2023-0727,0.00092,0.38262
CVE-2023-0728,0.00092,0.38262
CVE-2023-0729,0.00065,0.26795
CVE-2023-0730,0.00092,0.38262
CVE-2023-0731,0.00045,0.12002
CVE-2023-0732,0.00046,0.13988
